r, theta, phi, ground_track_beam_radius, ground_track_beam_area, v_r, v_theta, v_phi, beamwidth, v_groundtrack
17640107.460757893, 70.06187896980073, 10.465911104530171, 874.503530658426, 2402553.1669867323, 2461.5295454624184, -0.007769524525818526, 0.004447553939702682, 0.004449812006670223, 372.6167886217896
17937565.305428024, 69.14867258302115, 10.995705005761428, 897.6052582656123, 2531166.120303508, 2484.376179875864, -0.007627125104539215, 0.004424853376861042, 0.004449812006670223, 363.9261101178436
18237667.495667633, 68.25216008166244, 11.523052016326387, 920.9123559853706, 2664320.538623952, 2506.461827512601, -0.007487697309870818, 0.004404416878059504, 0.004449812006670223, 355.5529191675019
18540322.107475806, 67.37199091758966, 12.048210743812271, 944.4176846439736, 2802064.283210138, 2527.7797233407528, -0.007351197302961024, 0.004386140277008661, 0.004449812006670222, 347.4795737060857
18845436.435021825, 66.50782014342226, 12.571428264932656, 968.1140443477652, 2944441.3872908293, 2548.323337496051, -0.007217578306153603, 0.004369927267531576, 0.004449812006670223, 339.68964011149797
19152917.01904205, 65.65930870974533, 13.09294098805783, 991.9941766885718, 3091491.936935474, 2568.086377285805, -0.007086791059476001, 0.004355688747328822, 0.0044498120066702234, 332.16779516228235
19462669.675467074, 64.82612371314927, 13.612975444591351, 1016.0507669669986, 3243251.956234079, 2587.062789112169, -0.006958784231320866, 0.004343342223699969, 0.004449812006670223, 324.8997371380914
19774599.524271313, 64.00793860010057, 14.131749015818224, 1040.2764464330005, 3399753.2969441875, 2605.2467603297528, -0.006833504787346876, 0.004332811274600727, 0.0044498120066702234, 317.8721051030664
20088611.01853558, 63.20443333120685, 14.649470601146648, 1064.6637945429932, 3561023.5327601535, 2622.6327210247073, -0.006710898321266423, 0.004324025059160448, 0.004449812006670223, 311.0724055234221
20404607.97371396, 62.41529451003435, 15.166341233044152, 1089.2053412328332, 3727085.8583548013, 2639.2153457208756, -0.006590909350904529, 0.004316917872472179, 0.004449812006670223, 304.4889454684499
20722493.597095966, 61.64021548026343, 15.682554643417598, 1113.893569205962, 3897958.9933376703, 2654.989555010869, -0.0064734815826409595, 0.004311428740050465, 0.004449812006670223, 298.11077172914224
21042170.517455082, 60.87889639462559, 16.198297785698195, 1138.720916236027, 4073657.0912683397, 2669.950517112747, -0.006358558147091399, 0.0043075010478784, 0.0044498120066702234, 291.92761526346345
21363540.8148744, 60.131044258754336, 16.713751316455713, 1163.6797774832557, 4254189.653856995, 2684.093649349105, -0.006246081808628108, 0.0043050822043943756, 0.0044498120066702234, 285.92984044275585
21686506.05074033, 59.3963729527919, 17.229090039980534, 1188.762507823884, 4439561.450478419, 2697.4146195508906, -0.006135995151163149, 0.004304123331198378, 0.004449812006670223, 280.1083986310409
22010967.29789538, 58.674603233332675, 17.744483318925504, 1213.9614241919369, 4629772.443119177, 2709.909347385777, -0.006028240742377153, 0.0043045789795826146, 0.004449812006670223, 274.4547856799778
22336825.170940284, 57.96546271804299, 18.260095453790615, 1239.26880793261, 4824817.7168708965, 2721.574005605851, -0.005922761278406741, 0.004306406870305849, 0.004449812006670223, 268.96100296706805
22663979.856676687, 57.26868585507443, 18.776086033758403, 1264.6769071665647, 5024687.416076348, 2732.405021221165, -0.005819499710849425, 0.00430956765431382, 0.004449812006670223, 263.61952164287146
22992331.14468087, 56.58401387918778, 19.292610261139693, 1290.1779391644043, 5229366.686227899, 2742.3990765944677, -0.005718399357756581, 0.004314024692332183, 0.004449812006670223, 258.4232497896626
23321778.457999054, 55.911194756319425, 19.809819251467665, 1315.7640927305883, 5438835.621710917, 2751.553110456544, -0.0056194040001626925, 0.0043197438514805606, 0.004449812006670223, 253.36550222409116
23652220.88395507, 55.24998311815331, 20.327860311078606, 1341.4275305960755, 5653069.21947785, 2759.8643188446013, -0.005522457965559049, 0.004326693317240672, 0.004449812006670223, 248.43997270158957
23983557.205060784, 54.60014018810765, 20.84687719383855, 1367.1603918189487, 5872037.338731337, 2767.3301559607307, -0.005427506199597901, 0.004334843419282353, 0.004449812006670223, 243.64070830967282
24315685.93001993, 53.96143370000508, 21.367010338512785, 1392.9547941922901, 6095704.666687454, 2773.9483349517395, -0.005334494327200797, 0.004344166469792026, 0.004449812006670222, 238.9620858528471
24648505.32481577, 53.33363781056749, 21.888397088129302, 1418.8028366585718, 6324030.690482896, 2779.7168286095234, -0.0052433687041347245, 0.004354636613085913, 0.004449812006670223, 234.39879005553522
24981913.443873286, 52.71653300675792, 22.411171892556013, 1444.6966017298296, 6556969.675282432, 2784.6338699934936, -0.00515407646004974, 0.004366229685410592, 0.004449812006670223, 229.94579342470954
25315808.16128583, 52.10990600888878, 22.93546649539023, 1470.6281579128477, 6794470.648635071, 2788.697952968786, -0.00506656553383893, 0.004378923083918913, 0.004449812006670222, 225.59833762894925
25650087.20209733, 51.513549670315385, 23.461410106152865, 1496.5895621386555, 7036477.391120469, 2791.9078326705676, -0.004980784702157468, 0.004392695643934367, 0.004449812006670223, 221.3519162654868
25984648.173629995, 50.927262874447784, 23.98912955867969, 1522.5728621955573, 7282928.433318709, 2794.2625258836892, -0.004896683601820858, 0.004407527523668698, 0.004449812006670223, 217.2022588981218
26319388.596848127, 50.350850429733086, 24.518749456513085, 1548.5700991649678, 7533757.059129366, 2795.7613113445477, -0.004814212746754976, 0.004423400095649572, 0.004449812006670223, 213.14531625990594
26654205.937748328, 49.78412296318724, 25.05039230601669, 1574.5733098592987, 7788891.315457734, 2796.4037299614065, -0.004733323540111294, 0.004440295844181879, 0.004449812006670223, 209.17724652487917
26988997.638766706, 49.226896812989274, 25.58417863786028, 1600.574529261161, 8048254.028278571, 2796.1895849563316, -0.004653968282097064, 0.004458198268215607, 0.0044498120066702234, 205.29440256137056
27323661.15019302, 48.67899392059103, 26.12022711745488, 1626.565792963111, 8311762.825079488, 2795.1189419232537, -0.004576100174022268, 0.004477091789057879, 0.004449812006670222, 201.49332008785424
27658093.96158264, 48.140241722740015, 26.658654644856217, 1652.5391396072255, 8579330.163678888, 2793.1921288096096, -0.004499673319024875, 0.00449696166241217, 0.004449812006670222, 197.7707066584381
27992193.63315645, 47.61047304376382, 27.199576444597813, 1678.4866133237379, 8850863.367405072, 2790.4097358158133, -0.004424642719886295, 0.004517793894270569, 0.004449812006670223, 194.12343141379532
28325857.827179182, 47.089525988420064, 27.74310614586274, 1704.400266168001, 9126264.666615572, 2786.7726152148584, -0.004350964274308317, 0.004539575160221743, 0.004449812006670223, 190.5485155353476
28658984.339306045, 46.57724383557407, 28.28935585335558, 1730.2721605549896, 9405431.246527484, 2782.2818810876984, -0.004278594767999744, 0.004562292727779048, 0.004449812006670223, 187.04312335054132
28991471.1298892, 46.07347493292927, 28.838436209193745, 1756.0943716906806, 9688255.301323174, 2776.9389089878987, -0.004207491865883933, 0.00458593438137378, 0.0044498120066702234, 183.60455403712882
29323216.35523322, 45.57807259300313, 29.390456446094937, 1781.8589899994734, 9974624.094486026, 2770.745335515383, -0.004137614101696146, 0.004610488349660464, 0.004449812006670223, 180.2302338820813
29654118.398790784, 45.090894990509504, 29.945524432103305, 1807.55812354697, 10264420.02531501, 2763.7030578175522, -0.004068920866237027, 0.004635943234847641, 0.004449812006670223, 176.9177090532003
